Team,R/G,Strikeouts,BA,OBP,SLG,OPS
Arizona Diamondbacks,5.47,1265,.263,.337,.440,.777
Atlanta Braves,4.35,1461,.243,.309,.415,.724
Baltimore Orioles,4.85,1359,.250,.315,.435,.751
Boston Red Sox,4.64,1570,.252,.319,.423,.741
Chicago Cubs,4.54,1362,.242,.317,.393,.710
Chicago White Sox,3.13,1403,.221,.278,.340,.618
Cincinnati Reds,4.31,1459,.231,.305,.388,.693
Cleveland Guardians,4.40,1196,.238,.307,.395,.703
Colorado Rockies,4.21,1617,.242,.304,.400,.704
Detroit Tigers,4.21,1461,.234,.300,.385,.685
Houston Astros,4.60,1176,.262,.322,.418,.741
Kansas City Royals,4.54,1161,.248,.306,.403,.710
Los Angeles Angels,3.92,1416,.229,.301,.369,.671
Los Angeles Dodgers,5.20,1336,.258,.335,.446,.781
Miami Marlins,3.93,1410,.244,.300,.378,.678
Milwaukee Brewers,4.80,1459,.248,.326,.403,.729
Minnesota Twins,4.58,1306,.246,.315,.411,.726
New York Mets,4.74,1382,.246,.319,.415,.734
New York Yankees,5.03,1326,.248,.333,.429,.761
Oakland Athletics,3.97,1502,.233,.301,.393,.694
Philadelphia Phillies,4.84,1370,.257,.325,.425,.750
Pittsburgh Pirates,4.10,1506,.234,.301,.371,.672
San Diego Padres,4.69,1077,.263,.324,.420,.745
Seattle Mariners,4.17,1625,.224,.311,.376,.687
San Francisco Giants,4.28,1452,.239,.305,.396,.701
St. Louis Cardinals,4.15,1318,.248,.312,.392,.703
Tampa Bay Rays,3.73,1485,.230,.302,.366,.669
Texas Rangers,4.22,1284,.238,.305,.380,.686
Toronto Blue Jays,4.14,1233,.241,.313,.389,.703
Washington Nationals,4.07,1220,.243,.309,.375,.684
League Average,4.39,1373,.243,.312,.399,.711
Tm,R/G,SO,BA,OBP,SLG,OPS
